PHR,group,level,n,answer,pct,low,high
2,Race/Ethnicity,"White, Non-Hispanic",603,YES,42.7,33.5,52.3
2,Race/Ethnicity,"Black, Non-Hispanic",N,YES,,,
2,Race/Ethnicity,Hispanic,87,YES,,,
2,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,YES,,,
2,Age,18 to 29,88,YES,,,
2,Age,30 to 44,140,YES,9.3,5.2,16.1
2,Age,45 to 64,243,YES,34.7,19.7,53.4
2,Age,65+,310,YES,73.7,59.3,84.3
2,Education,Less than high school,52,YES,59.2,34.3,80.2
2,Education,High school graduate,201,YES,31.9,18.4,49.2
2,Education,Some college,248,YES,40.3,28.3,53.5
2,Education,College graduate,286,YES,31.6,21.4,44.0
2,Income,"<$25,000",125,YES,,,
2,Income,"$25,000 to <$50,000",166,YES,60.0,44.2,73.9
2,Income,"$50,000+",398,YES,31.0,22.3,41.2
2,Marital Status,Married,427,YES,44.7,32.8,57.3
2,Marital Status,Not married,360,YES,28.8,20.5,38.8
2,Employment Status,Employed,365,YES,19.1,12.5,28.1
2,Employment Status,Not employed,419,YES,54.9,41.6,67.6
2,Health Insurance,Health insurance,696,YES,39.9,30.8,49.8
2,Health Insurance,No health insurance,56,YES,,,
2,Disability Status,Has disability,288,YES,58.5,44.0,71.7
2,Disability Status,No disability,495,YES,25.3,19.1,32.8
2,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,YES,,,
2,Sexual Orientation,Straight,694,YES,36.6,27.9,46.3
2,Total,Total,789,NO,61.5,52.6,69.8
2,Sex,Male,376,NO,58.3,44.7,70.8
2,Sex,Female,413,NO,64.7,53.3,74.7
2,Race/Ethnicity,"White, Non-Hispanic",603,NO,57.3,47.7,66.5
2,Race/Ethnicity,"Black, Non-Hispanic",N,NO,,,
2,Race/Ethnicity,Hispanic,87,NO,64.9,37.0,85.3
2,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,NO,,,
2,Age,18 to 29,88,NO,85.7,74.4,92.6
2,Age,30 to 44,140,NO,90.7,83.9,94.8
2,Age,45 to 64,243,NO,65.3,46.6,80.3
2,Age,65+,310,NO,26.3,15.7,40.7
2,Education,Less than high school,52,NO,,,
2,Education,High school graduate,201,NO,68.1,50.8,81.6
