source_file,group,category,sample_size,response,pct,ci_low,ci_high
2024_PHR11_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"Black, Non-Hispanic",N,NO,,,
2024_PHR11_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,Hispanic,445,NO,10.2,6.5,15.6
2024_PHR11_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,NO,,,
2024_PHR11_BRFSS_Summary_Tables.xlsx,Age,18 to 29,98,NO,23.8,14.1,37.3
2024_PHR11_BRFSS_Summary_Tables.xlsx,Age,30 to 44,153,NO,,,
2024_PHR11_BRFSS_Summary_Tables.xlsx,Age,45 to 64,195,NO,,,
2024_PHR11_BRFSS_Summary_Tables.xlsx,Age,65+,184,NO,,,
2024_PHR11_BRFSS_Summary_Tables.xlsx,Education,Less than high school,113,NO,,,
2024_PHR11_BRFSS_Summary_Tables.xlsx,Education,High school graduate,184,NO,,,
2024_PHR11_BRFSS_Summary_Tables.xlsx,Education,Some college,147,NO,18.3,9.9,31.3
2024_PHR11_BRFSS_Summary_Tables.xlsx,Education,College graduate,182,NO,11.8,6.9,19.5
2024_PHR11_BRFSS_Summary_Tables.xlsx,Income,"<$25,000",156,NO,,,
2024_PHR11_BRFSS_Summary_Tables.xlsx,Income,"$25,000 to <$50,000",155,NO,,,
2024_PHR11_BRFSS_Summary_Tables.xlsx,Income,"$50,000+",213,NO,15.5,8.7,26.0
2024_PHR11_BRFSS_Summary_Tables.xlsx,Marital Status,Married,288,NO,,,
2024_PHR11_BRFSS_Summary_Tables.xlsx,Marital Status,Not married,341,NO,13.4,8.5,20.4
2024_PHR11_BRFSS_Summary_Tables.xlsx,Employment Status,Employed,309,NO,14.0,8.9,21.4
2024_PHR11_BRFSS_Summary_Tables.xlsx,Employment Status,Not employed,309,NO,,,
2024_PHR11_BRFSS_Summary_Tables.xlsx,Health Insurance,Health insurance,486,NO,8.8,5.2,14.3
2024_PHR11_BRFSS_Summary_Tables.xlsx,Health Insurance,No health insurance,96,NO,,,
2024_PHR11_BRFSS_Summary_Tables.xlsx,Disability Status,Has disability,224,NO,,,
2024_PHR11_BRFSS_Summary_Tables.xlsx,Disability Status,No disability,369,NO,11.2,6.9,17.5
2024_PHR11_BRFSS_Summary_Tables.xlsx,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,NO,,,
2024_PHR11_BRFSS_Summary_Tables.xlsx,Sexual Orientation,Straight,483,NO,9.9,6.2,15.3
2024_PHR1_BRFSS_Summary_Tables.xlsx,Total,Total,969,YES,73.7,65.8,80.3
2024_PHR1_BRFSS_Summary_Tables.xlsx,Sex,Male,474,YES,72.0,62.9,79.7
2024_PHR1_BRFSS_Summary_Tables.xlsx,Sex,Female,495,YES,75.1,62.0,84.8
2024_PHR1_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"White, Non-Hispanic",624,YES,75.1,65.1,83.0
2024_PHR1_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"Black, Non-Hispanic",50,YES,85.5,69.7,93.8
2024_PHR1_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,Hispanic,218,YES,68.6,53.3,80.6
2024_PHR1_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",52,YES,82.5,65.9,92.0
