max_depth,eta,cutoff,precision,precision_std,recall,recall_std,accuracy,accuracy_std
3,0.15000000000000002,0.5,0.9385668214654282,0.06446381444945574,0.975,0.051298917604257706,0.9551247771836007,0.052236692517791186
3,0.15000000000000002,0.5,0.9274106682146542,0.06635817254463612,0.96875,0.04876184360034337,0.9461898395721925,0.052729825978814884
3,0.15000000000000002,0.5,0.9219075568824021,0.06276532241080508,0.9732142857142857,0.04636238668868225,0.9454736440030558,0.048700204525411475
3,0.15000000000000002,0.5,0.9316691122721018,0.06418486850125764,0.9765625,0.04419417382415922,0.9522894385026738,0.04900365361827157
3,0.15000000000000002,0.5,0.9298206197683752,0.06127891344305868,0.9791666666666666,0.04225771273642581,0.952688651218063,0.0463998309102131
3,0.15000000000000002,0.5,0.9352760577915377,0.0609902514479137,0.9734375,0.044504708408356304,0.9528743315508021,0.04422661231276095
5,0.15000000000000002,0.5,0.8611842105263158,0.022368421052631593,1,0,0.9191176470588235,0.01470588235294118
5,0.15000000000000002,0.5,0.9305921052631578,0.07563132910523246,1,0,0.9595588235294118,0.04429237109728576
5,0.15000000000000002,0.5,0.9537280701754386,0.06933924150259209,1,0,0.9730392156862745,0.04055748143830734
5,0.15000000000000002,0.5,0.9308291408668731,0.07304951602424427,0.96875,0.05590169943749474,0.9475824420677362,0.05767089332185361
5,0.15000000000000002,0.5,0.9446633126934985,0.07084238312172218,0.975,0.051298917604257706,0.9580659536541889,0.05557418004356284
5,0.15000000000000002,0.5,0.9274058307533539,0.07678914220996501,0.9609375,0.060603004750446235,0.9423276886512181,0.062318512897633356
5,0.15000000000000002,0.5,0.9219034104870019,0.07218998544149854,0.9665178571428571,0.057640084133715484,0.9421632289279348,0.0575188458780525
5,0.15000000000000002,0.5,0.9316654841761266,0.07230187800948408,0.970703125,0.054956853952632403,0.9493928253119429,0.057089374851507446
5,0.15000000000000002,0.5,0.9327222604441386,0.06811252034808084,0.9739583333333334,0.05255736661700514,0.9517478708655179,0.054151220891691
5,0.15000000000000002,0.5,0.9378875343997248,0.06696929018720074,0.96875,0.05295740910852021,0.9520276292335116,0.051535117301445894
7,0.15000000000000002,0.5,0.8723684210526316,0.025828827832167483,1,0,0.9264705882352942,0.016980890270283114
7,0.15000000000000002,0.5,0.9361842105263158,0.07028617516039891,1,0,0.9632352941176471,0.040845004401730216
7,0.15000000000000002,0.5,0.9525541795665635,0.0629629053225198,1,0,0.9730392156862745,0.036473894393298414
7,0.15000000000000002,0.5,0.9331656346749226,0.0641100898028315,0.96875,0.05590169943749474,0.9494763814616756,0.05246188344296775
7,0.15000000000000002,0.5,0.946532507739938,0.0632228380874497,0.975,0.051298917604257706,0.9595811051693405,0.05101711452382921
7,0.15000000000000002,0.5,0.9298981215293135,0.07173945317534776,0.953125,0.07197240564211428,0.9410650623885918,0.06401987766230512
7,0.15000000000000002,0.5,0.9240396597235385,0.06780600181515825,0.9598214285714286,0.06849550056670582,0.9410809778456837,0.05908768483593713
7,0.15000000000000002,0.5,0.9316964669639786,0.06716954731506976,0.96484375,0.06533393594054984,0.9475267379679144,0.05798277633128586
7,0.15000000000000002,0.5,0.9327498007000071,0.0632870400016976,0.96875,0.0625,0.9500891265597148,0.05506179215823245
