"County","pct_hispanic","pct_black","pct_white","pct_poverty","pct_uninsured","pct_college","median_income","pct_foreign_born"
"Jasper",7,15.3,74.1,19.1,18.8,14,NA,0.5
"Jeff Davis",30.1,0,68.6,17.4,14.5,35.9,NA,0.3
"Jefferson",24.1,33,40.2,16.4,20.6,19.7,NA,0.9
"Jim Hogg",91.4,0.3,33.5,34,29,14.8,NA,0.4
"Jim Wells",79.5,1.4,68,20.5,20.9,16.3,NA,0.5
"Johnson",25.3,5.4,71.9,7.2,16.3,25.2,NA,1.2
"Jones",28.6,10.1,63.3,11.8,19.3,12,NA,1
"Karnes",53.4,9.5,51,13.6,15.8,14.3,NA,0.8
"Kaufman",27.4,18.6,54.2,7.7,15,26.5,NA,1.1
"Kendall",24.4,0.9,75.2,3.5,10.8,48.9,NA,1.6
"Kenedy",88.3,0.7,20,0,24.8,13,NA,0
"Kent",16.1,1,85,1.6,3.8,26.3,NA,2.2
"Kerr",26.8,1.6,73.9,7.2,17.3,31.3,NA,1.1
"Kimble",26.5,1.4,74,5.6,13.7,27.1,NA,0.5
"King",16.6,0,69.2,15.3,7.6,38.9,NA,0
"Kinney",57.5,0.1,63.1,8.5,21.7,11.8,NA,7.1
"Kleberg",71.4,3.8,42.1,19.3,16.2,23.2,NA,0.8
"Knox",33.5,4.9,68.1,11.9,17.7,13.5,NA,1.1
"Lamar",9.6,12.1,75.1,15.7,19.3,21.6,NA,1.9
"Lamb",58.3,3.7,68.4,9.3,25.1,14.3,NA,0.5
"Lampasas",20.5,4,76.8,6.8,12.9,24.3,NA,3.7
"La Salle",71.8,5.8,33.3,19,17.5,11.8,NA,1.9
"Lavaca",20.1,3.6,74,8.6,10.5,22.2,NA,0.2
"Lee",26.6,9.6,65.8,11.5,16.1,20.9,NA,1
"Leon",16.7,7.2,75.9,12.8,17.2,18.6,NA,1.3
"Liberty",39.6,7.6,56.8,15.9,26.2,11.9,NA,1.1
"Limestone",23.5,17.1,59.1,10.9,17.7,18.5,NA,0.6
"Lipscomb",38.6,0,70.9,11.7,18.1,22.4,NA,1.6
"Live Oak",42.3,2.3,69.7,15,18.3,15.9,NA,0.6
"Llano",13.4,0.3,87.4,9.1,15.8,32.4,NA,1.5
"Loving",0,0,93.9,0,0,0,NA,0
"Lubbock",36.2,7.4,63,11.2,13.9,33.4,NA,0.9
"Lynn",41.2,1.8,61.9,13.7,12.9,26.8,NA,0.2
"Mcculloch",30.5,0.9,69,11.7,19.8,23.9,NA,1
"Mclennan",27,13.9,58.7,10.5,14.2,28.7,NA,1.1
"Mcmullen",62.1,0,43.7,12.4,15,20.1,NA,0.1
"Madison",26.2,15.5,59.2,10.5,12.9,18.4,NA,1.6
"Marion",4.8,21.9,70.4,11.3,14.3,15.6,NA,0.3
"Martin",47.7,2.8,67.2,3.5,17.1,20.9,NA,0
"Mason",18.9,0.1,84.5,1.1,13.5,38.8,NA,0.6
"Matagorda",43.7,10.3,52.5,16.8,17.9,22.2,NA,1.3
"Maverick",94.8,0.2,17.2,20.1,23.4,14.3,NA,1.7
"Medina",51.5,2.9,58.2,6.2,11.6,23.1,NA,1.6
"Menard",25.7,0.4,75.1,11.7,23.6,24,NA,1
"Midland",46,7.2,55.9,8.9,14.5,31,NA,1.1
"Milam",26,8.3,69.1,9.4,15.7,20.6,NA,1
"Mills",21,0.7,77,6.8,10.8,27.9,NA,0.6
"Mitchell",38.8,8.5,61.4,5,17.5,11.5,NA,0.3
"Montague",12.3,0.1,89.8,11.6,14.5,18.9,NA,0.4
"Montgomery",27.9,6.4,66.8,7.3,15.1,38.8,NA,2.1
"Moore",61,4.9,48.7,16.5,22.8,12.3,NA,1.5
"Morris",11.2,22.4,62.8,14.6,12.7,16,NA,0.8
"Motley",10.1,5.3,80.5,15.1,20.7,19.3,NA,0.1
"Nacogdoches",21.6,16.7,62,16.5,15.4,28.2,NA,0.5
"Navarro",32.1,9.4,58.3,12.9,18.4,18.2,NA,0.9
"Newton",3.6,17.3,74.6,11.8,19.2,6.8,NA,0.4
"Nolan",37.4,2.7,66.4,16.7,13.3,16,NA,0.5
"Nueces",62.5,3.9,45.8,13.4,17.6,23.8,NA,1.2
"Ochiltree",56.8,0,67.6,7.4,25.6,20.7,NA,0.1
"Oldham",27.8,8.8,70.8,11.6,18.9,21.4,NA,0.3
"Orange",9.6,7.8,79.3,9.9,14.9,17.7,NA,0.5
"Palo Pinto",20.6,2.4,79,12,18.2,17.8,NA,1
"Panola",10.4,11.3,72.7,8.6,17,17,NA,0.6
"Parker",14.7,1.3,83.2,6.1,13.2,32.3,NA,1.1
"Parmer",66.7,0.3,64,8.9,24.1,16.9,NA,0.2
"Pecos",71.3,4.6,50.2,15.3,16.5,14.1,NA,0.4
"Polk",15.3,7.7,74.5,14.8,14.4,16.2,NA,0.8
"Potter",39.3,10.6,55.8,14.6,19.3,18.6,NA,1.5
