Sheet,1,2,3,4,5,6,7,8,9,10,11
Diabetes Eye Exam - Within the past month,22.4,R,16.4,N,R,R,24.2,19.3,R,18.2,15.6
Diabetes Eye Exam - Within the past year,43.6,33.8,45.5,N,58.3,52.6,48.1,42.9,R,42.2,41.9
Diabetes Status - No,84.0,84.5,87.7,80.1,82.6,88.2,88.4,85.1,88.7,82.0,82.0
Diabetes Status - Yes,16.0,15.5,12.3,19.9,17.4,11.8,11.6,14.9,11.3,18.0,18.0
Diabetes Test - No,N,N,N,N,N,N,N,N,N,N,N
Diabetes Test - Yes,N,N,N,N,N,N,N,N,N,N,N
Diabetes Type - Type 1,R,R,10.9,N,R,R,R,9.0,R,R,R
Diabetes Type - Type 2,93.8,96.6,89.1,N,84.5,95.2,88.6,91.0,91.7,89.7,82.6
Difficulty Concentrating - No,83.2,83.0,85.8,87.4,84.8,85.2,86.7,84.0,86.0,81.0,82.7
Difficulty Concentrating - Yes,16.8,17.0,14.2,12.6,15.2,14.8,13.3,16.0,14.0,19.0,17.3
Difficulty Doing Errands Alo - No,91.5,88.6,92.3,91.0,92.3,92.6,94.7,90.5,91.0,89.4,88.7
Difficulty Doing Errands Alo - Yes,8.5,R,7.7,R,7.7,7.4,5.3,9.5,9.0,10.6,11.3
Difficulty Dressing - No,92.7,93.6,97.5,94.4,91.4,96.3,98.0,94.5,97.9,91.8,91.3
Difficulty Dressing - Yes,7.3,R,2.5,R,R,3.7,2.0,5.5,R,8.2,8.7
Difficulty Walking - No,84.0,80.4,87.8,82.5,81.5,88.1,89.9,85.7,84.5,77.4,86.5
Difficulty Walking - Yes,16.0,19.6,12.2,17.5,18.5,11.9,10.1,14.3,15.5,22.6,13.5
Disability Status - No,64.6,59.2,70.4,71.0,65.3,72.1,72.7,66.8,67.1,59.5,66.4
Disability Status - Yes,35.4,40.8,29.6,29.0,34.7,27.9,27.3,33.2,32.9,40.5,33.6
Dr Rx Pain Talk - No,33.8,41.8,38.8,35.8,36.1,51.2,37.9,40.9,R,52.7,50.7
Dr Rx Pain Talk - Yes,66.2,58.2,61.2,64.2,63.9,48.8,62.1,59.1,70.4,47.3,49.3
DurationClnscpySgmy - 5 or more years ago,N,N,N,N,N,N,N,N,N,N,N
DurationClnscpySgmy - Within the past 2 years,N,N,N,N,N,N,N,N,N,N,N
DurationClnscpySgmy - Within the past 3 years,N,N,N,N,N,N,N,N,N,N,N
