PHR,group,level,n,answer,pct,low,high
,group,category,sample_size,response,pct,ci_low,ci_high
3,Employment Status,Employed,"1,342",NO,65.6,62.2,68.9
3,Employment Status,Not employed,984,NO,54.0,49.3,58.5
3,Health Insurance,Health insurance,"2,007",NO,57.6,54.6,60.6
3,Health Insurance,No health insurance,245,NO,83.1,73.7,89.6
3,Disability Status,Has disability,685,NO,58.6,53.0,64.0
3,Disability Status,No disability,"1,647",NO,62.6,59.4,65.7
3,Sexual Orientation,"Gay, Lesbian, or Bisexual",145,NO,59.9,48.9,70.0
3,Sexual Orientation,Straight,"1,808",NO,59.8,56.7,62.9
4,Total,Total,220,YES,25.4,18.8,33.2
4,Sex,Male,107,YES,25.1,15.9,37.3
4,Sex,Female,113,YES,25.6,17.1,36.3
4,Race/Ethnicity,"White, Non-Hispanic",160,YES,24.3,17.7,32.2
4,Race/Ethnicity,"Black, Non-Hispanic",N,YES,,,
4,Race/Ethnicity,Hispanic,N,YES,,,
4,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,YES,,,
4,Age,18 to 29,N,YES,,,
4,Age,30 to 44,N,YES,,,
4,Age,45 to 64,70,YES,31.2,19.2,46.4
4,Age,65+,88,YES,43.2,30.6,56.8
4,Education,Less than high school,N,YES,,,
4,Education,High school graduate,76,YES,20.7,12.1,33.2
4,Education,Some college,71,YES,20.3,12.1,32.0
4,Education,College graduate,59,YES,46.6,30.7,63.3
4,Income,"<$25,000",N,YES,,,
4,Income,"$25,000 to <$50,000",59,YES,28.5,16.7,44.2
4,Income,"$50,000+",82,YES,20.7,12.0,33.4
4,Marital Status,Married,107,YES,32.3,22.3,44.3
4,Marital Status,Not married,113,YES,17.2,10.9,26.2
4,Employment Status,Employed,91,YES,19.4,11.2,31.5
4,Employment Status,Not employed,126,YES,31.9,22.3,43.3
4,Health Insurance,Health insurance,193,YES,28.3,21.1,36.8
4,Health Insurance,No health insurance,N,YES,,,
4,Disability Status,Has disability,78,YES,21.9,13.2,34.1
4,Disability Status,No disability,141,YES,26.8,18.7,36.8
4,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,YES,,,
4,Sexual Orientation,Straight,161,YES,28.8,20.8,38.4
4,Total,Total,220,NO,74.6,66.8,81.2
4,Sex,Male,107,NO,74.9,62.7,84.1
4,Sex,Female,113,NO,74.4,63.7,82.9
4,Race/Ethnicity,"White, Non-Hispanic",160,NO,75.7,67.8,82.3
4,Race/Ethnicity,"Black, Non-Hispanic",N,NO,,,
4,Race/Ethnicity,Hispanic,N,NO,,,
4,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,NO,,,
4,Age,18 to 29,N,NO,,,
4,Age,30 to 44,N,NO,,,
4,Age,45 to 64,70,NO,68.8,53.6,80.8
4,Age,65+,88,NO,56.8,43.2,69.4
4,Education,Less than high school,N,NO,,,
4,Education,High school graduate,76,NO,79.3,66.8,87.9
4,Education,Some college,71,NO,79.7,68.0,87.9
4,Education,College graduate,59,NO,53.4,36.7,69.3
4,Income,"<$25,000",N,NO,,,
4,Income,"$25,000 to <$50,000",59,NO,71.5,55.8,83.3
4,Income,"$50,000+",82,NO,79.3,66.6,88.0
4,Marital Status,Married,107,NO,67.7,55.7,77.7
